Minute,temp
0,15.0
5,15.0
10,15.0
15,15.0
20,15.0
25,15.0
30,15.0
35,15.0
40,15.0
45,15.0
50,15.0
55,15.0
60,15.0
65,15.0
70,15.0
75,15.0
80,15.0
85,15.0
90,15.0
95,15.0
100,15.0
105,15.0
110,15.0
115,15.0
120,15.0
125,14.916666666666666
130,14.833333333333334
135,14.75
140,14.666666666666666
145,14.583333333333334
150,14.5
155,14.416666666666666
160,14.333333333333334
165,14.25
170,14.166666666666666
175,14.083333333333334
180,14.0
185,14.0
190,14.0
195,14.0
200,14.0
205,14.0
210,14.0
215,14.0
220,14.0
225,14.0
230,14.0
235,14.0
240,14.0
245,14.0
250,14.0
255,14.0
260,14.0
265,14.0
270,14.0
275,14.0
280,14.0
285,14.0
290,14.0
295,14.0
300,14.0
305,13.916666666666666
310,13.833333333333334
315,13.75
320,13.666666666666666
325,13.583333333333334
330,13.5
335,13.416666666666666
340,13.333333333333334
345,13.25
350,13.166666666666666
355,13.083333333333334
360,13.0
365,13.083333333333334
370,13.166666666666666
375,13.25
380,13.333333333333334
385,13.416666666666666
390,13.5
395,13.583333333333334
400,13.666666666666666
405,13.75
410,13.833333333333334
415,13.916666666666666
420,14.0
425,14.0
430,14.0
435,14.0
440,14.0
445,14.0
450,14.0
455,14.0
460,14.0
465,14.0
470,14.0
475,14.0
480,14.0
485,14.083333333333334
490,14.166666666666666
495,14.25
500,14.333333333333334
505,14.416666666666666
510,14.5
515,14.583333333333334
520,14.666666666666666
525,14.75
530,14.833333333333334
535,14.916666666666666
540,15.0
545,15.166666666666666
550,15.333333333333334
555,15.5
560,15.666666666666666
565,15.833333333333334
570,16.0
575,16.166666666666668
580,16.333333333333332
585,16.5
590,16.666666666666668
595,16.833333333333332
600,17.0
605,17.183333333333334
610,17.366666666666667
615,17.55
620,17.733333333333334
625,17.916666666666668
630,18.1
635,18.28333333333333
640,18.466666666666665
645,18.65
650,18.833333333333332
655,19.016666666666666
660,19.2
665,19.366666666666667
670,19.53333333333333
675,19.7
680,19.866666666666667
685,20.03333333333333
690,20.2
695,20.366666666666667
700,20.53333333333333
705,20.7
710,20.866666666666667
715,21.03333333333333
720,21.2
725,21.316666666666666
730,21.433333333333334
735,21.55
740,21.666666666666668
745,21.783333333333335
750,21.9
755,22.016666666666666
760,22.133333333333333
765,22.25
770,22.366666666666667
775,22.483333333333334
780,22.6
785,22.691666666666666
790,22.783333333333335
795,22.875
800,22.96666666666667
805,23.058333333333334
810,23.15
815,23.241666666666667
820,23.333333333333332
825,23.425
830,23.516666666666666
835,23.608333333333334
840,23.7
845,23.733333333333334
850,23.766666666666666
855,23.8
860,23.833333333333332
865,23.866666666666667
870,23.9
875,23.933333333333334
880,23.96666666666667
885,24.0
890,24.033333333333335
895,24.066666666666666
900,24.1
905,24.09166666666667
910,24.083333333333336
915,24.075000000000003
920,24.066666666666666
925,24.058333333333334
930,24.05
935,24.041666666666668
940,24.033333333333335
945,24.025
950,24.016666666666666
955,24.008333333333333
960,24.0
965,23.933333333333334
970,23.866666666666667
975,23.8
980,23.733333333333334
985,23.666666666666668
990,23.6
995,23.53333333333333
1000,23.466666666666665
1005,23.4
1010,23.333333333333332
1015,23.266666666666666
1020,23.2
1025,23.016666666666666
1030,22.833333333333332
1035,22.65
1040,22.466666666666665
1045,22.28333333333333
1050,22.1
1055,21.916666666666668
1060,21.733333333333334
1065,21.55
1070,21.366666666666667
1075,21.183333333333334
1080,21.0
1085,20.858333333333334
1090,20.71666666666667
1095,20.575
1100,20.433333333333334
1105,20.291666666666668
1110,20.15
1115,20.008333333333333
1120,19.866666666666667
1125,19.725
1130,19.583333333333336
1135,19.441666666666666
1140,19.3
1145,19.233333333333334
1150,19.166666666666668
1155,19.1
1160,19.033333333333335
1165,18.96666666666667
1170,18.9
1175,18.833333333333332
1180,18.766666666666666
1185,18.7
1190,18.633333333333333
1195,18.566666666666666
1200,18.5
1205,18.375
1210,18.25
1215,18.125
1220,18.0
1225,17.875
1230,17.75
1235,17.625
1240,17.5
1245,17.375
1250,17.25
1255,17.125
1260,17.0
1265,16.916666666666668
1270,16.833333333333332
1275,16.75
1280,16.666666666666668
1285,16.583333333333332
1290,16.5
1295,16.416666666666668
1300,16.333333333333332
1305,16.25
1310,16.166666666666668
1315,16.083333333333332
1320,16.0
1325,16.0
1330,16.0
1335,16.0
1340,16.0
1345,16.0
1350,16.0
1355,16.0
1360,16.0
1365,16.0
1370,16.0
1375,16.0
1380,16.0
1385,16.0
1390,16.0
1395,16.0
1400,16.0
1405,16.0
1410,16.0
1415,16.0
1420,16.0
1425,16.0
1430,16.0
1435,16.0
